category_id,title,product_code,qty,price,description,image,image1,image2,image3
14,BA0267,BA0267,1,97680,BANGLE 2223RD=24.15 18KW_59.00G,/BA/BA0267/BA0267-1[PNG1].png,/BA/BA0267/BA0267-1[PNG1].png,/BA/BA0267/BA0267-2[PNG].png,/BA/BA0267/BA0267-3[PNG].png
15,BA0268,BA0268,1,15491.52,BANGLE 161RD=1.90 132BQ=1.60 18KW_45.00G,/BA/BA0268/BA0268-1[PNG1].png,/BA/BA0268/BA0268-1[PNG1].png,/BA/BA0268/BA0268-2[PNG].png,/BA/BA0268/BA0268-3[PNG].png
14,BA0277,BA0277,1,90816,BANGLE 2026RD=22.95 18KW_59.50G,/BA/BA0277/BA0277-1[PNG1].png,/BA/BA0277/BA0277-1[PNG1].png,/BA/BA0277/BA0277-2[PNG].png,/BA/BA0277/BA0277-3[PNG].png
23,BA0283,BA0283,1,45677.28,BANGLE 821RD=8.95 652MSAP=35.85 18KW_109.00G,/BA/BA0283/BA0283-1[PNG1].png,/BA/BA0283/BA0283-1[PNG1].png,/BA/BA0283/BA0283-2[PNG].png,/BA/BA0283/BA0283-3[PNG].png
23,BA0285,BA0285,1,34351.68,BANGLE 1029RD=9.45 316MSAP=14.60 18KW_91.50G,/BA/BA0285/BA0285-1[PNG1].png,/BA/BA0285/BA0285-1[PNG1].png,/BA/BA0285/BA0285-2[PNG].png,/BA/BA0285/BA0285-3[PNG].png
14,BA0287,BA0287,1,32472,BANGLE 2026RD=24.35 18KW_59.50G,/BA/BA0287/BA0287-1[PNG1].png,/BA/BA0287/BA0287-1[PNG1].png,/BA/BA0287/BA0287-2[PNG].png,/BA/BA0287/BA0287-3[PNG].png
19,BA0291,BA0291,1,30624,BANGLE 693RD=5.55 1333RUB=20.95 18KW_59.50G,/BA/BA0291/BA0291-1[PNG1].png,/BA/BA0291/BA0291-1[PNG1].png,/BA/BA0291/BA0291-2[PNG].png,/BA/BA0291/BA0291-3[PNG].png
14,BA0292,BA0292,1,46992,BANGLE 2028RD=26.65 18KW_49.50G,/BA/BA0292/BA0292-1[PNG1].png,/BA/BA0292/BA0292-1[PNG1].png,/BA/BA0292/BA0292-2[PNG].png,/BA/BA0292/BA0292-3[PNG].png
23,BA0293,BA0293,1,55440,BANGLE 706RD=9.30 174YSAP=35.70 18KW_54.00G,/BA/BA0293/BA0293-1[PNG1].png,/BA/BA0293/BA0293-1[PNG1].png,/BA/BA0293/BA0293-2[PNG].png,/BA/BA0293/BA0293-3[PNG].png
23,BA0294,BA0294,1,31801.44,BANGLE 634RD=8.85 1039YSAP=17.50 18KY=67.50G,/BA/BA0294/BA0294-1[PNG1].png,/BA/BA0294/BA0294-1[PNG1].png,/BA/BA0294/BA0294-2[PNG].png,/BA/BA0294/BA0294-3[PNG].png
14,BA0295,BA0295,1,44161.92,BANGLE 591RD=18.30 18KW_31.00G,/BA/BA0295/BA0295-1[PNG1].png,/BA/BA0295/BA0295-1[PNG1].png,/BA/BA0295/BA0295-2[PNG].png,/BA/BA0295/BA0295-3[PNG].png
14,BA0296,BA0296,1,44161.92,BANGLE 591RD=18.30 18KR_31.00G,/BA/BA0296/BA0296-1[PNG1].png,/BA/BA0296/BA0296-1[PNG1].png,/BA/BA0296/BA0296-2[PNG].png,/BA/BA0296/BA0296-3[PNG].png
14,BA0301,BA0301,1,107939.04,BANGLE 2604RD=57.20 18KW_94.50G,/BA/BA0301/BA0301-1[PNG1].png,/BA/BA0301/BA0301-1[PNG1].png,/BA/BA0301/BA0301-2[PNG].png,/BA/BA0301/BA0301-3[PNG].png
23,BA0303,BA0303,1,30624,BANGLE 693RD=5.55 1333YSAP=20.95 18KW_59.50G,/BA/BA0303/BA0303-1[PNG1].png,/BA/BA0303/BA0303-1[PNG1].png,/BA/BA0303/BA0303-2[PNG].png,/BA/BA0303/BA0303-3[PNG].png
21,BA0308,BA0308,1,52800,BANGLE 597RD=7.80 160SAP=37.00 18KW_56.50G,/BA/BA0308/BA0308-1[PNG1].png,/BA/BA0308/BA0308-1[PNG1].png,/BA/BA0308/BA0308-2[PNG].png,/BA/BA0308/BA0308-3[PNG].png
23,BA0314,BA0314,1,44880,BANGLE 634RD=8.85 1039YSAP=17.50 18KR_56.50G,/BA/BA0314/BA0314-1[PNG1].png,/BA/BA0314/BA0314-1[PNG1].png,/BA/BA0314/BA0314-2[PNG].png,/BA/BA0314/BA0314-3[PNG].png
14,BA0318,BA0318,1,49104,BANGLE 943RD=21.95 18KW_66.50G,/BA/BA0318/BA0318-1[PNG1].png,/BA/BA0318/BA0318-1[PNG1].png,/BA/BA0318/BA0318-2[PNG].png,/BA/BA0318/BA0318-3[PNG].png
14,BA0319,BA0319,1,42979.2,BANGLE 591RD=18.30 18KY_31.00G,/BA/BA0319/BA0319-1[PNG1].png,/BA/BA0319/BA0319-1[PNG1].png,/BA/BA0319/BA0319-2[PNG].png,/BA/BA0319/BA0319-3[PNG].png
14,BA0325,BA0325,1,27561.6,BANGLE 861RD=4.90 18KW_78.00G,/BA/BA0325/BA0325-1[PNG1].png,/BA/BA0325/BA0325-1[PNG1].png,/BA/BA0325/BA0325-2[PNG].png,/BA/BA0325/BA0325-3[PNG].png
14,BA0337,BA0337,1,11880,BANGLE 844RD=5.50 18KW_28.50G,/BA/BA0337/BA0337-1[PNG1].png,/BA/BA0337/BA0337-1[PNG1].png,/BA/BA0337/BA0337-2[PNG].png,/BA/BA0337/BA0337-3[PNG].png
21,BA0338,BA0338,1,13992,BANGLE 268RD=3.10 310SAP=6.70 18KW_29.00G,/BA/BA0338/BA0338-1[PNG1].png,/BA/BA0338/BA0338-1[PNG1].png,/BA/BA0338/BA0338-2[PNG].png,/BA/BA0338/BA0338-3[PNG].png
14,BA0348,BA0348,1,23760,BANGLE 1146RD=8.45 18KW_40.50G,/BA/BA0348/BA0348-1[PNG1].png,/BA/BA0348/BA0348-1[PNG1].png,/BA/BA0348/BA0348-2[PNG].png,/BA/BA0348/BA0348-3[PNG].png
19,BA0352,BA0352,1,22176,BANGLE 263RD=3.30 214RUB=10.55 18KW_34.50G,/BA/BA0352/BA0352-1[PNG1].png,/BA/BA0352/BA0352-1[PNG1].png,/BA/BA0352/BA0352-2[PNG].png,/BA/BA0352/BA0352-3[PNG].png
